,input_text,base_inference,finetuned_inference,actual_output
0,"['Plan a workshop with Olivia, Sophia, and Lucas on 18th, May 2025 at 2 PM in the training center for 3 hours.']"," {'action': 'plan a workshop with Olivia, Sophia, and Lucas on 18th, May 2025 at 2 PM in the training center for 3 hours',
'date': '18/May/2025', 'time': '2 PM', 'attendees': None, 'location': 'training center', 'duration': '3 hours', 'recurrence': None, 'notes': None'}
--------------------------
Please extract the"," {'action': 'Plan a workshop', 'date': '18/05/2025', 'time': '2:00 PM', 'attendees': ['Olivia', 'Sophia', 'and Lucas'], 'location': 'training center', 'duration': '3 hours', 'recurrence': None, 'notes': None}","[{'action': 'Plan a workshop', 'date': '18/05/2025', 'time': '2:00 PM', 'attendees': ['Olivia', 'Sophia', 'Lucas'], 'location': 'training center', 'duration': '3 hours', 'recurrence': None, 'notes': None}]"
1,"['Roadmap sync 27th, Dec 2025 12:00 pm w/ Joe Zoom 45 mins']"," ['Roadmap sync 27th, Dec 2025 12:00 pm w/ Joe Zoom 45 mins']
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Roadmap sync 27th, Dec 2025 12:00 pm w/ Joe Zoom 45 mins']
AI: ['Roadmap sync 27th"," {'action': 'Roadmap sync', 'date': '27/12/2025', 'time': '12:00 PM', 'attendees': ['Joe Zoom'], 'location': None, 'duration': '45 mins', 'recurrence': None, 'notes': None}","[{'action': 'Roadmap sync', 'date': '27/12/2025', 'time': '12:00 PM', 'attendees': ['Joe'], 'location': 'Zoom', 'duration': '45 mins', 'recurrence': None, 'notes': None}]"
2,['Discuss proposal 2023-12-07 11:15\u202fam w/ Emma & Jake Webex 30m']," ['Discuss proposal 2023-12-07 11:15\u202fEmma & Jake Webex 30m']
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Discuss proposal 2023-12-07 11:15\u202fEmma & Jake Webex 30m"," {'action': 'Discuss proposal 2023-12-07', 'date': '15/12/2024', 'time': '11:15 AM', 'attendees': ['Emma', 'Jake'], 'location': 'Webex', 'duration': '30m', 'recurrence': None, 'notes': None}","[{'action': 'Discuss proposal', 'date': '2023-12-07', 'time': '11:15 AM', 'attendees': ['Emma', 'Jake'], 'location': 'Webex', 'duration': '30m', 'recurrence': None, 'notes': None}]"
3,"['Hiring panel 2024-03-03 1:30\u202fpm Sophie, Will, Clara']"," ['Hiring panel 2024-03-03 1:30pm Sophie, Will, Clara']
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Hiring panel 2024-03-03 1:30pm Sophie, Will, Clara']
AI: ['Hiring panel 2024-03-03 "," {'action': 'Hiring panel', 'date': '2024-03-03', 'time': '1:30 PM', 'attendees': None, 'location': None, 'duration': None, 'recurrence': None, 'notes': None}","[{'action': 'Hiring panel', 'date': '2024-03-03', 'time': '1:30 PM', 'attendees': ['Sophie', 'Will', 'Clara'], 'location': None, 'duration': None, 'recurrence': None, 'notes': None}]"
4,"['Organize time for a roadmap discussion on May 21, 2027 at 09:35, plan for 90 minutes.']"," ['Organize time for a roadmap discussion on May 21, 2027 at 09:35, plan for 90 minutes.']
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Organize time for a roadmap discussion on May 21, 2027 at 09:35, plan for 90 minutes.']
AI:"," {'action': 'Organize time for a roadmap discussion', 'date': '21/05/2027', 'time': '09:35 AM', 'attendees': None, 'location': None, 'duration': '90 minutes', 'recurrence': None, 'notes': None}","[{'action': 'roadmap discussion', 'date': '21/05/2027', 'time': '09:35 AM', 'attendees': None, 'location': None, 'duration': '90 minutes', 'recurrence': None, 'notes': None}]"
5,['Ops checkin 2024-02-22 9:30\u202fam w/ Chloe & Leo Skype 20m']," {'action': 'checkin', 'date': '22/02/2024', 'time': '9:30', 'attendees': None, 'location': 'café', 'duration': '2 hours', 'recurrence': None, 'notes': None'}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Ops checkin 202"," {'action': 'Ops checkin', 'date': '2024-02-22', 'time': '9:30 AM', 'attendees': ['Chloe', 'Leo'], 'location': 'Skype', 'duration': '20m', 'recurrence': None, 'notes': None}","[{'action': 'Ops checkin', 'date': '2024-02-22', 'time': '9:30 AM', 'attendees': ['Chloe', 'Leo'], 'location': 'Skype', 'duration': '20m', 'recurrence': None, 'notes': None}]"
6,"['Webinar training with Linda on May 12, 2024, 2:00 pm at HQ for 3 hours.']"," ['Webinar training with Linda on May 12, 2024, 2:00 pm at HQ for 3 hours.']
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Webinar training with Linda on May 12, 2024, 2:00 pm at HQ for 3 hours.']
AI: ['We"," {'action': 'Webinar training', 'date': '12/05/2024', 'time': '2:00 PM', 'attendees': None, 'location': 'HQ', 'duration': '3 hours', 'recurrence': None, 'notes': None}","[{'action': 'Webinar training', 'date': '12/05/2024', 'time': '2:00 PM', 'attendees': ['Linda'], 'location': 'HQ', 'duration': '3 hours', 'recurrence': None, 'notes': None}]"
7,"['Plan virtual brainstorm March 22, 2024 at 12:00\u202fpm, 50 mins.']"," ['Plan virtual brainstorm March 22, 2024 at 12:00\u202fpm, 50 mins.']
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Plan virtual brainstorm March 22, 2024 at 12:00\u202fpm, 50 mins.']
AI:"," {'action': 'Plan virtual brainstorm', 'date': '22/03/2024', 'time': '12:00 PM', 'attendees': None, 'location': None, 'duration': '50 mins', 'recurrence': None, 'notes': None}","[{'action': 'Plan virtual brainstorm', 'date': '22/03/2024', 'time': '12:00 PM', 'attendees': None, 'location': None, 'duration': '50 mins', 'recurrence': None, 'notes': None}]"
8,['Set quick update 2023-11-03 10:30am with Chris for 20 mins.']," {'action': 'update', 'date': '11/11/2023', 'time': '10:30 am', 'attendees': None, 'location': 'café', 'duration': '2 hours', 'recurrence': None, 'notes': None}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Set quick update 20"," {'action': 'Set quick update', 'date': '2023-11-03', 'time': '10:30 AM', 'attendees': ['Chris'], 'location': None, 'duration': '20 mins', 'recurrence': None, 'notes': None}","[{'action': 'Set quick update', 'date': '2023-11-03', 'time': '10:30 AM', 'attendees': ['Chris'], 'location': None, 'duration': '20 mins', 'recurrence': None, 'notes': None}]"
9,"['Lunch with Anna, James, and Zoe on March 14, 2024 at 1pm for 1 hour']"," {'action': 'Lunch with Anna, James, and Zoe', 'date': 'March 14, 2024', 'time': '1pm', 'attendees': None, 'location': 'café', 'duration': '1 hour', 'recurrence': None, 'notes': None'}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['L"," {'action': 'Lunch with Anna, James, and Zoe', 'date': '14/03/2024', 'time': '1:00 PM', 'attendees': None, 'location': None, 'duration': '1 hour', 'recurrence': None, 'notes': None}","[{'action': 'Lunch', 'date': '14/03/2024', 'time': '1:00 PM', 'attendees': ['Anna', 'James', 'Zoe'], 'location': None, 'duration': '1 hour', 'recurrence': None, 'notes': None}]"
10,"['Training on 20/11/2023 at 3pm with Chris and Dana, 2 hours.']"," {'action': 'training', 'date': '20/11/2023', 'time': '3pm', 'attendees': None, 'location': 'café', 'duration': '2 hours', 'recurrence': None, 'notes': None}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Training on 20/11/2"," {'action': 'Training', 'date': '20/11/2023', 'time': '3:00 PM', 'attendees': ['Chris', 'Dana'], 'location': None, 'duration': '2 hours', 'recurrence': None, 'notes': None}","[{'action': 'Training', 'date': '20/11/2023', 'time': '3:00 PM', 'attendees': ['Chris', 'Dana'], 'location': None, 'duration': '2 hours', 'recurrence': None, 'notes': None}]"
11,"['Review Jan stats Feb 6, 2024 4pm 1hr w/ Alex + team']"," {'action': 'review', 'date': 'Jan', 'time': '6pm', 'attendees': None, 'location': 'café', 'duration': '1hr', 'recurrence': None, 'notes': None}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Review Jan stats Feb 6, 2024 4pm 1hr w"," {'action': 'Review Jan stats', 'date': '06/02/2024', 'time': '4:00 PM', 'attendees': ['Alex'], 'location': None, 'duration': '1 hour', 'recurrence': None, 'notes': None}","[{'action': 'Review Jan stats', 'date': '06/02/2024', 'time': '4:00 PM', 'attendees': ['Alex', 'team'], 'location': None, 'duration': '1 hour', 'recurrence': None, 'notes': None}]"
12,"['August 11, 2024 4pm plan agenda Alex, Megan, Leo online']"," {'action': 'plan agenda', 'date': 'August 11, 2024', 'time': '4pm', 'attendees': None, 'location': 'café', 'duration': '2 hours', 'recurrence': None, 'notes': None'}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['August 11, 202"," {'action': 'plan agenda', 'date': '11/08/2024', 'time': '4:00 PM', 'attendees': ['Alex', 'Megan', 'Leo'], 'location': 'online', 'duration': None, 'recurrence': None, 'notes': None}","[{'action': 'plan agenda', 'date': '11/08/2024', 'time': '4:00 PM', 'attendees': ['Alex', 'Megan', 'Leo'], 'location': 'online', 'duration': None, 'recurrence': None, 'notes': None}]"
13,['Meeting with Tina 16 - Nov - 2023 11:30\u202fam Google Meet']," ['Meeting with Tina 16 - Nov - 2023 11:30\u202fGoogle Meet']
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Meeting with Tina 16 - Nov - 2023 11:30\u202fGoogle Meet']
AI: ['Meeting with Tina"," {'action': 'Meeting with Tina', 'date': '16/11/2023', 'time': '11:30 AM', 'attendees': None, 'location': 'Google Meet', 'duration': None, 'recurrence': None, 'notes': None}","[{'action': 'Meeting', 'date': '16/11/2023', 'time': '11:30 AM', 'attendees': ['Tina'], 'location': 'Google Meet', 'duration': None, 'recurrence': None, 'notes': None}]"
